iter	Passed	Remaining
768	36607	10996
769	36656	10949
770	36703	10901
771	36745	10852
772	36792	10804
773	36845	10758
774	36910	10715
775	36973	10672
776	37041	10630
777	37110	10589
778	37160	10542
779	37207	10494
780	37253	10446
781	37310	10401
782	37354	10352
783	37393	10302
784	37439	10254
785	37480	10204
786	37520	10154
787	37568	10107
788	37614	10059
789	37665	10012
790	37757	9976
791	37824	9933
792	37883	9888
793	37931	9841
794	37973	9791
795	38017	9743
796	38056	9693
797	38096	9643
798	38147	9596
799	38187	9546
800	38225	9496
801	38264	9446
802	38302	9396
803	38336	9345
804	38378	9296
805	38415	9246
806	38450	9195
807	38485	9144
808	38530	9096
809	38575	9048
810	38611	8998
811	38644	8947
812	38702	8902
813	38802	8866
814	38890	8828
815	38956	8784
816	39028	8741
817	39084	8696
818	39146	8651
819	39198	8604
820	39260	8559
821	39363	8523
822	39492	8493
823	39555	8448
824	39606	8401
825	39665	8355
826	39757	8316
827	39958	8300
828	40009	8252
829	40053	8203
830	40096	8154
831	40141	8105
832	40184	8056
833	40230	8007
834	40280	7959
835	40328	7911
836	40366	7861
837	40425	7814
838	40465	7765
839	40509	7716
840	40550	7666
841	40591	7616
842	40631	7567
843	40682	7519
844	40729	7471
845	40780	7423
846	40845	7378
847	40915	7333
848	40998	7291
849	41051	7244
850	41119	7199
851	41192	7155
852	41246	7108
853	41304	7061
854	41403	7021
855	41510	6983
856	41603	6942
857	41663	6895
858	41734	6850
859	41794	6803
860	41841	6754
861	41886	6705
862	41934	6656
863	41997	6610
864	42040	6561
865	42087	6512
866	42131	6463
867	42171	6413
868	42214	6363
869	42252	6313
870	42289	6263
871	42331	6213
872	42537	6188
873	42599	6141
874	42656	6093
875	42720	6047
876	42783	6000
877	42864	5956
878	43001	5919
879	43105	5878
880	43182	5832
881	43264	5788
882	43696	5789
883	43740	5739
884	43784	5689
885	43827	5639
886	43869	5588
887	43917	5539
888	43963	5489
889	44020	5440
890	44132	5398
891	44203	5351
892	44268	5304
893	44334	5256
894	44391	5207
895	44433	5157
896	44497	5109
897	44534	5058
898	44572	5007
899	44615	4957
900	44653	4906
901	44700	4856
902	44749	4806
903	44810	4758
904	44878	4710
905	44947	4663
906	44993	4613
907	45043	4563
908	45087	4513
909	45128	4463
910	45175	4413
911	45229	4364
912	45324	4318
913	45390	4270
914	45438	4221
915	45489	4171
916	45530	4121
917	45575	4071
918	45618	4020
919	45659	3970
920	45773	3926
921	45874	3880
922	45991	3836
923	46037	3786
924	46079	3736
925	46125	3686
926	46173	3636
927	46225	3586
928	46293	3538
929	46424	3494
930	46574	3451
931	46665	3404
932	46724	3355
933	46773	3305
934	46868	3258
935	47006	3214
